Slutpris,Title,Type,Location,Sale Date,Agent Name,Agent Link,Pris per kvadratmeter,Utgångspris,Prisutveckling,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift,url,Driftskostnad,Uteplats,Biarea,Tomtarea,Arrende,Förening,Tomträttsavgäld,Lat,Long
1 625 000 kr,Drottninggatan 6C,Lägenhet,"Värnhem, Malmö kommun",Såld 21 augusti 2019,Manuel Rodrigues,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-739591/manuel-rodrigues-15473,23 214 kr/m²,1 495 000 kr,+130 000 kr (+9 %),Lägenhet,Bostadsrätt,2 rum,70 m²,,,1935,5 214 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-varnhem-malmo-kommun-drottninggatan-6c-1058988,3 620 kr/år,,,,,,,55.6080242,13.0215503
690 000 kr,Kronetorpsgatan 46D,Lägenhet,"Segevång, Malmö kommun",Såld 04 september 2020,Silva Curraj,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/silva-curraj-325,18 158 kr/m²,695 000 kr,-5 000 kr (-1 %),Lägenhet,Bostadsrätt,1 rum,38 m²,Nej,"3 av 4, hiss finns ej",1960,2 395 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-segevang-malmo-kommun-kronetorpsgatan-46d-1245569,3 620 kr/år,,,,,,,55.6153183,13.0545434
1 795 000 kr,Köpenhamnsvägen 47C,Lägenhet,"Slottsstaden, Malmö kommun",Såld 17 september 2018,,,31 217 kr/m²,1 795 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,"57,5 m²",,,1952,4 075 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slottsstaden-malmo-kommun-kopenhamnsvagen-47c-882652,,,,,,HSB Brf Trumman,,55.5945733,12.9690839
745 000 kr,Serenadgatan 23,Lägenhet,"Almvik, Malmö kommun",Såld 28 januari 2016,,,9 085 kr/m²,795 000 kr,-50 000 kr (-6 %),Lägenhet,Bostadsrätt,3 rum,82 m²,,,1971,5 355 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-almvik-malmo-kommun-serenadgatan-23-469019,,,,,,Riksbyggen Brf Malmöhus nr 23,,55.56013765,13.006303266559136
1 900 000 kr,Mastgränd 7A,Lägenhet,"Västra Hamnen, Malmö kommun",Såld 30 november 2023,Sam Lashkari,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/sam-lashkari-17811,53 521 kr/m²,1 995 000 kr,-95 000 kr (-5 %),Lägenhet,Bostadsrätt,"1,5 rum","35,5 m²",Ja,"5 av 5, hiss finns",2017,3 188 kr/mån,"https://www.hemnet.se/salda/lagenhet-1,5rum-vastra-hamnen-malmo-kommun-mastgrand-7a-5639588791303418176",,,,,,,,55.6120207,12.9804006
2 695 000 kr,Sergels Väg 9A,Lägenhet,"Ribersborg, Malmö kommun",Såld 11 november 2023,Kasper Isgren,https://www.hemnet.se/maklare/bjurfors-malmo-vaster-12366/kasper-isgren-4071,44 917 kr/m²,2 695 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,60 m²,Ja,"4 av 8, hiss finns",1954,3 606 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-ribersborg-malmo-kommun-sergels-vag-9a-4641172145759303458,,,,,,,,55.5995478,12.9755322
1 175 000 kr,Koristgatan 24,Lägenhet,"Lindeborg, Malmö kommun",Såld 15 juni 2018,Malin Wallin,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/malin-wallin-13595,18 952 kr/m²,1 195 000 kr,-20 000 kr (-2 %),Lägenhet,Bostadsrätt,2 rum,62 m²,,,1973,3 330 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-lindeborg-malmo-kommun-koristgatan-24-844777,,,,,,HSB Brf Lindeborg,,55.5577538,12.9884671
2 730 000 kr,Geijersgatan 1A,Lägenhet,"Limhamns Sjöstad, Malmö kommun",Såld 03 mars 2023,Henrik Feuk,https://www.hemnet.se/maklare/husmanhagberg-malmo-4545/henrik-feuk-19708,39 565 kr/m²,2 895 000 kr,-165 000 kr (-6 %),Lägenhet,Bostadsrätt,3 rum,69 m²,Ja,"1 av 8, hiss finns",2021,4 806 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-limhamns-sjostad-malmo-kommun-geijersgatan-1a-3832175433963910378,,,,,,,,55.587829,12.9481603
1 825 000 kr,Ingenjörsgatan 18,Lägenhet,"Södertorp, Malmö kommun",Såld 30 mars 2021,,,30 165 kr/m²,1 595 000 kr,+230 000 kr (+14 %),Lägenhet,Bostadsrätt,2 rum,"60,5 m²",Ja,"4 av 8, hiss finns",1967,3 606 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-sodertorp-malmo-kommun-ingenjorsgatan-18-1356464,4 603 kr/år,,,,,,,55.5791815,12.9971595
2 395 000 kr,Fågelbacksgatan 27B,Lägenhet,"Slottsstaden, Malmö kommun",Såld 06 februari 2024,Martina Albertsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/martina-albertsson-24875,40 593 kr/m²,2 595 000 kr,-200 000 kr (-8 %),Lägenhet,Bostadsrätt,2 rum,59 m²,Ja,"4 av 4, hiss finns ej",1945,3 741 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slottsstaden-malmo-kommun-fagelbacksgatan-27b-4944816122716001868,,,,,,,,55.5965046,12.9813543
