Slutpris,Title,Type,Location,Sale Date,Agent Name,Agent Link,Pris per kvadratmeter,Utgångspris,Prisutveckling,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift,Driftskostnad,Biarea,Tomtarea,Uteplats,Arrende,Förening
1 095 000 kr,Bodekullsgatan 39 A,Lägenhet,"Sorgenfri, Malmö kommun",Såld 18 mars 2022,Majlinda Halimi Hugosson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/majlinda-halimi-hugosson-12128,39 107 kr/m²,1 095 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,28 m²,Nej,"3 av 4, hiss finns ej",1947,1 624 kr/mån,1 920 kr/år,,,,,
460 000 kr,Rosengången 61,Fritidsboende,"Sibbarp / Västkustens koloniområde, Malmö kommun",Såld 03 april 2018,Marcus Zetterberg,https://www.hemnet.se/maklare/zetterberg-blomberg-fastighetsformedling-33587/marcus-zetterberg-9077,,495 000 kr,-35 000 kr (-7 %),Fritidsboende,Äganderätt,2 rum,29 m²,,,80-tal / 2005,,1 600 kr/år,10 m²,393 m²,,,
595 000 kr,Vattenverksvägen 41B,Lägenhet,"Kirseberg, Malmö kommun",Såld 04 juni 2020,Ola G Lindskog,https://www.hemnet.se/maklare/bodirekt-298/ola-g-lindskog-416,25 870 kr/m²,595 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,23 m²,Ja,,1952,1 709 kr/mån,,,,,,
1 060 000 kr,Helmfeltsgatan 12,Lägenhet,"Hästhagen/Davidshall, Malmö kommun",Såld 10 januari 2023,Sandra Lindh,https://www.hemnet.se/maklare/husmanhagberg-malmo-4545/sandra-lindh-17715,43 265 kr/m²,895 000 kr,+165 000 kr (+18 %),Lägenhet,Bostadsrätt,1 rum,"24,5 m²",Nej,"1 av 5, hiss finns",1945,1 217 kr/mån,,,,,,
1 245 000 kr,Carl Herslowsgatan 11 A,Lägenhet,"Hästhagen, Malmö kommun",Såld 04 januari 2019,Johanna Mjöfors,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/johanna-mjofors-14058,42 931 kr/m²,1 245 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,,1943,1 610 kr/mån,3 680 kr/år,,,,,HSB:s Brf Kanslern i Malmö
1 050 000 kr,Vendelsfridsgatan 6B,Lägenhet,"Lorensborg, Malmö kommun",Såld 01 augusti 2023,Rama Bernin,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/rama-bernin-21858,38 889 kr/m²,1 195 000 kr,-145 000 kr (-12 %),Lägenhet,Bostadsrätt,1 rum,27 m²,Ja,"15 av 16, hiss finns",1959,2 131 kr/mån,,,,,,
900 000 kr,Vårgatan 3A,Lägenhet,"Östervärn, Malmö kommun",Såld 16 augusti 2017,Mathilda Skoglund,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/mathilda-skoglund-11409,36 000 kr/m²,795 000 kr,+105 000 kr (+13 %),Lägenhet,Bostadsrätt,1 rum,25 m²,,,1936,1 764 kr/mån,,,,,,Brf Malmö Värnhem 13
940 000 kr,Karlshamnsgatan 2,Lägenhet,"Folkets park, Malmö kommun",Såld 13 september 2023,Love Fält,https://www.hemnet.se/maklare/lansforsakringar-fastighetsformedling-malmo-39311/love-falt-21434,32 414 kr/m²,945 000 kr,-5 000 kr (-1 %),Lägenhet,Bostadsrätt,1 rum,29 m²,Nej,"2 av 4, hiss finns ej",1935,2 752 kr/mån,2 400 kr/år,,,,,
1 125 000 kr,Kilian Zollsgatan 9 B,Lägenhet,"Ribersborg, Malmö kommun",Såld 05 september 2016,Martin Arup,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/martin-arup-6181,40 179 kr/m²,995 000 kr,+130 000 kr (+13 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,1945,2 116 kr/mån,3 400 kr/år,,,,,Brf Kilian 9
1 100 000 kr,Mäster Henriksgatan 10 A,Lägenhet,"S:t Knut, Malmö kommun",Såld 27 september 2017,Fatima Friberg,https://www.hemnet.se/maklare/bohem-40591/fatima-friberg-10507,45 643 kr/m²,1 195 000 kr,-95 000 kr (-8 %),Lägenhet,Bostadsrätt,1 rum,"24,1 m²",,,1932,1 208 kr/mån,,,,,,
1 130 000 kr,Bobergsängen 6B,Lägenhet,"Dammfri, Malmö kommun",Såld 05 januari 2023,Emma Wrangmark,https://www.hemnet.se/maklare/svensk-fastighetsformedling-malmo-701451/emma-wrangmark-13676,43 295 kr/m²,1 195 000 kr,-65 000 kr (-5 %),Lägenhet,Bostadsrätt,1 rum,"26,1 m²",Ja,"2, hiss finns ej",1949,2 499 kr/mån,,,,,,
565 000 kr,Närkesgatan 3A,Lägenhet,"Dalaplan, Malmö kommun",Såld 17 september 2015,Gustav Cagmo,https://www.hemnet.se/maklare/bjurfors-malmo-oster-2048/gustav-cagmo-8076,19 483 kr/m²,550 000 kr,+15 000 kr (+3 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,,1957,2 132 kr/mån,,,,,,HSB Brf Vättern
600 000 kr,Mäster Henriksgatan 6,Lägenhet,"S:t Knut, Malmö kommun",Såld 30 oktober 2014,Filip Ericsson,https://www.hemnet.se/maklare/bjurfors-malmo-vaster-12366/filip-ericsson-9481,24 000 kr/m²,495 000 kr,+105 000 kr (+21 %),Lägenhet,Bostadsrätt,1 rum,25 m²,,,1936,1 499 kr/mån,4 200 kr/år,,,,,Brf Mäster Henrik
420 000 kr,Gullregnsgången 16,Fritidshus,"Sibbarp / Västkustens koloniförening, Malmö kommun",Såld 11 maj 2019,David Blomberg,https://www.hemnet.se/maklare/zetterberg-blomberg-fastighetsformedling-33587/david-blomberg-217,,395 000 kr,+25 000 kr (+6 %),Fritidshus,Annat,2 rum,28 m²,,,1960,,10 400 kr/år,,401 m²,,,
675 000 kr,Sandbackegatan 7c,Lägenhet,"Kirseberg, Malmö kommun",Såld 29 oktober 2019,Elaine Mürgas,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/elaine-murgas-11453,27 551 kr/m²,575 000 kr,+100 000 kr (+17 %),Lägenhet,Bostadsrätt,1 rum,"24,5 m²",Nej,,,2 120 kr/mån,,,,,,
705 000 kr,ÖSTRA FARMVÄGEN 37C,Lägenhet,"Nobel / Sorgenfri, Malmö kommun",Såld 09 oktober 2017,Ola G Lindskog,https://www.hemnet.se/maklare/bodirekt-298/ola-g-lindskog-416,33 571 kr/m²,595 000 kr,+110 000 kr (+18 %),Lägenhet,Bostadsrätt,1 rum,21 m²,,,1956,1 078 kr/mån,1 200 kr/år,,,,,Manligheten Hsb
1 400 000 kr,Roslins väg 17A,Lägenhet,"Ribersborg, Malmö kommun",Såld 08 augusti 2017,Dennis Berg,https://www.hemnet.se/maklare/bjurfors-jonkoping-711611/dennis-berg-10675,53 846 kr/m²,1 075 000 kr,+325 000 kr (+30 %),Lägenhet,Bostadsrätt,1 rum,26 m²,,,1944,1 489 kr/mån,,,,,,Brf Roslin
695 000 kr,Branteviksgatan 24,Lägenhet,"Östra Sorgenfri, Malmö kommun",Såld 16 mars 2023,Daniel Marzouk,https://www.hemnet.se/maklare/maklarhuset-malmo-regementsgatan-25107/daniel-marzouk-16833,25 741 kr/m²,695 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,"1 av 5, hiss finns",1972,1 817 kr/mån,,,,,,
1 345 000 kr,Regementsgatan 23,Lägenhet,"Ribersborg, Malmö kommun",Såld 30 januari 2019,Marielle Jungerup,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/marielle-jungerup-4076,44 833 kr/m²,1 345 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,30 m²,,,1937,2 340 kr/mån,,,,,,Brf Inland 4
1 225 000 kr,Rosengrens gata 7A,Lägenhet,"Limhamns Sjöstad, Malmö kommun",Såld 19 april 2020,Dan Andersson,https://www.hemnet.se/maklare/bjurfors-limhamn-1807/dan-andersson-4057,40 833 kr/m²,1 350 000 kr,-125 000 kr (-9 %),Lägenhet,Bostadsrätt,1 rum,30 m²,Nej,,2019,2 215 kr/mån,,,,Ja,,
715 000 kr,Statistgatan 16,Lägenhet,"Lindeborg, Malmö kommun",Såld 14 december 2022,Tarik Dizdar,https://www.hemnet.se/maklare/lansforsakringar-fastighetsformedling-malmo-39311/tarik-dizdar-21539,24 655 kr/m²,795 000 kr,-80 000 kr (-10 %),Lägenhet,Bostadsrätt,1 rum,29 m²,Nej,"1 av 8, hiss finns",1973,1 818 kr/mån,,,,,,
925 000 kr,Åkerögången 211 - Ärtholmens Sommarstad,Fritidshus,"Ärtholmens Sommarstad, Malmö kommun",Såld 14 september 2023,Lennart Andén,https://www.hemnet.se/maklare/kolonimaklarna-725411/lennart-anden-17714,,775 000 kr,+150 000 kr (+19 %),Fritidshus,Annat,2 rum,31 m²,,,1950,,6 400 kr/år,15 m²,285 m²,,6 600 kr/år,
670 000 kr,Estlandsgatan 5C,Lägenhet,"Heleneholm, Malmö kommun",Såld 07 december 2017,Mikael Öhlin,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/mikael-ohlin-11133,23 183 kr/m²,645 000 kr,+25 000 kr (+4 %),Lägenhet,Bostadsrätt,1 rum,"28,9 m²",,,1957,1 406 kr/mån,,,,,,Brf Skeppsbyggaren
450 000 kr,Poppelgången 84,Fritidshus,"Jägershill 1, Malmö kommun",Såld 21 juni 2022,Marcus Zetterberg,https://www.hemnet.se/maklare/zetterberg-blomberg-fastighetsformedling-33587/marcus-zetterberg-9077,,395 000 kr,+55 000 kr (+14 %),Fritidshus,Annat,2 rum,24 m²,,,1960,,15 900 kr/år,20 m²,603 m²,,,
1 000 000 kr,Stora Nygatan 23,Lägenhet,"City, Malmö kommun",Såld 16 maj 2016,Johan Dahlgren,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/johan-dahlgren-465,45 704 kr/m²,995 000 kr,+5 000 kr (+1 %),Lägenhet,Bostadsrätt,1 rum,"21,9 m²",,,1895,1 401 kr/mån,,,,,,Brf Concordia 15
745 000 kr,Sadelmakarebyn 7c,Lägenhet,"Annestad, Malmö kommun",Såld 30 augusti 2023,Jesper Jeschko Björnsson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/jesper-jeschko-bjornsson-18545,27 593 kr/m²,775 000 kr,-30 000 kr (-4 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,"4 av 4, hiss finns",2005,2 925 kr/mån,3 494 kr/år,,,,,
990 000 kr,Möllevångsgatan 30A,Lägenhet,"Triangeln, Malmö kommun",Såld 27 april 2022,Jacob Friberg,https://www.hemnet.se/maklare/bjurfors-malmo-oster-2048/jacob-friberg-14876,35 357 kr/m²,995 000 kr,-5 000 kr (-1 %),Lägenhet,Bostadsrätt,1 rum,28 m²,Nej,"3 av 5, hiss finns",1968,2 062 kr/mån,,,,,,
695 000 kr,Branteviksgatan 5A,Lägenhet,"Sorgenfri, Malmö kommun",Såld 13 februari 2023,Varo Dalawy,https://www.hemnet.se/maklare/mohv-malmo-20887/varo-dalawy-22132,28 367 kr/m²,695 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"24,5 m²",Ja,"7 av 10, hiss finns",1959,2 321 kr/mån,,,,,,
750 000 kr,Aktrisgatan 14,Lägenhet,"Lindeborg, Malmö kommun",Såld 09 februari 2017,Emir Salkic,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/emir-salkic-1545,27 778 kr/m²,695 000 kr,+55 000 kr (+8 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,,1972,1 615 kr/mån,,,,,,HSB Brf Sofieholm
650 000 kr,Vitemöllegatan 10C,Lägenhet,"Nobeltorget, Malmö kommun",Såld 30 september 2016,Patrik Tegnhammar,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/patrik-tegnhammar-10542,27 083 kr/m²,485 000 kr,+165 000 kr (+34 %),Lägenhet,Bostadsrätt,1 rum,24 m²,,,1945-1946,1 711 kr/mån,,,,,,HSB Brf Friheten
1 050 000 kr,Ystadsgatan 47A,Lägenhet,"Norra Sofielund, Malmö kommun",Såld 13 februari 2019,Kenan Hasanoglu,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/kenan-hasanoglu-10334,33 871 kr/m²,895 000 kr,+155 000 kr (+17 %),Lägenhet,Bostadsrätt,1 rum,31 m²,,,1937,2 161 kr/mån,,,,,,Brf Urbilden
1 550 000 kr,Carl Herslowsgatan 9,Lägenhet,"Hästhagen, Malmö kommun",Såld 18 december 2022,Rebecka Ovesen Wågert,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/rebecka-ovesen-wagert-19855,59 387 kr/m²,1 495 000 kr,+55 000 kr (+4 %),Lägenhet,Bostadsrätt,1 rum,"26,1 m²",Ja,"5 av 6, hiss finns",1945,1 638 kr/mån,,,,,,
850 000 kr,Kilian Zollsgatan 6 A,Lägenhet,"Ribersborg, Malmö kommun",Såld 05 december 2015,[email protected],"https://www.hemnet.se/maklare/hemverket-ab-36511/info-hemverket,se-144",30 357 kr/m²,795 000 kr,+55 000 kr (+7 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,,1 767 kr/mån,,,,,,Bostadsrättsföreningen Stegeborg 5
1 650 000 kr,Gustaf Rydbergsgatan 7,Lägenhet,"Ribersborg, Malmö kommun",Såld 05 augusti 2021,Philip Ekdahl,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/philip-ekdahl-11614,58 929 kr/m²,1 395 000 kr,+255 000 kr (+18 %),Lägenhet,Bostadsrätt,1 rum,28 m²,Nej,"4 av 5, hiss finns ej",1943,1 883 kr/mån,,,,,,
1 000 000 kr,Ehrensvärdsgatan 7,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 11 mars 2021,Jacob Edman,https://www.hemnet.se/maklare/mohv-lund-26647/jacob-edman-1695,34 483 kr/m²,995 000 kr,+5 000 kr (+1 %),Lägenhet,Bostadsrätt,1 rum,29 m²,Nej,"5 av 6, hiss finns",1934,2 313 kr/mån,3 500 kr/år,,,,,
895 000 kr,Nordlinds Väg 94C,Lägenhet,"Slottsstaden, Malmö kommun",Såld 04 september 2016,Simon Wall Sanktnovius,https://www.hemnet.se/maklare/bjurfors-lund-centrum-1799/simon-wall-sanktnovius-11411,31 964 kr/m²,895 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,1954,1 509 kr/mån,,,,,,HSB Brf Gamban
1 250 000 kr,Kronborgsvägen 12C,Lägenhet,"Pildammarna, Malmö kommun",Såld 16 februari 2020,Dennis Berg,https://www.hemnet.se/maklare/bjurfors-jonkoping-711611/dennis-berg-10675,44 643 kr/m²,1 095 000 kr,+155 000 kr (+14 %),Lägenhet,Bostadsrätt,1 rum,28 m²,Nej,,,1 870 kr/mån,,,,,,
700 000 kr,Uppsalagatan 11B,Lägenhet,"Södervärn / Dalaplan, Malmö kommun",Såld 04 augusti 2016,Marcus Abrahamsson,https://www.hemnet.se/maklare/skandiamaklarna-malmo-vaster-oster-718231/marcus-abrahamsson-7300,25 926 kr/m²,595 000 kr,+105 000 kr (+18 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,,1937,2 315 kr/mån,2 400 kr/år,,,,,Brf Flyttfåglarna
475 000 kr,Lettlandsgatan 2 A,Lägenhet,"Fosiedal/dalaplan, Malmö kommun",Såld 06 augusti 2015,[email protected],"https://www.hemnet.se/maklare/hemverket-ab-36511/info-hemverket,se-144",16 436 kr/m²,475 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"28,9 m²",,,,1 162 kr/mån,,,,,,Brf Skeppsbyggaren
1 205 000 kr,Major Nilssonsgatan 11D,Lägenhet,"Slottsstaden, Malmö kommun",Såld 06 mars 2020,Anders Nilsson,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/anders-nilsson-9587,46 346 kr/m²,895 000 kr,+310 000 kr (+35 %),Lägenhet,Bostadsrätt,1 rum,26 m²,Nej,,1646,1 641 kr/mån,,,,,,
765 000 kr,Moltkegången 9 - Ärtholmens Sommarstad,Fritidshus,"Ärtholmens Sommarstad, Malmö kommun",Såld 30 maj 2023,Lennart Andén,https://www.hemnet.se/maklare/kolonimaklarna-725411/lennart-anden-17714,,575 000 kr,+190 000 kr (+33 %),Fritidshus,Annat,2 rum,24 m²,,,1950,,5 900 kr/år,6 m²,300 m²,,6 431 kr/år,
695 000 kr,Per Albin Hanssons väg 50B,Lägenhet,"Blekingsborg, Malmö kommun",Såld 06 november 2016,Philip Ekdahl,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/philip-ekdahl-11614,29 574 kr/m²,635 000 kr,+60 000 kr (+9 %),Lägenhet,Bostadsrätt,1 rum,"23,5 m²",,,1957,2 141 kr/mån,,,,,,HSB Brf Eriksfält
780 000 kr,Idaborgsgatan 57E,Lägenhet,"Ellstorp, Malmö kommun",Såld 20 mars 2020,Johanna Meyer,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-meyer-16549,27 857 kr/m²,745 000 kr,+35 000 kr (+5 %),Lägenhet,Bostadsrätt,1 rum,28 m²,Nej,"1 av 6, hiss finns",1940,1 822 kr/mån,,,,,,
1 400 000 kr,Västra Varvsgatan 32D,Lägenhet,"Västra Hamnen, Malmö kommun",Såld 15 juni 2023,Johan Dahlgren,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/johan-dahlgren-465,51 852 kr/m²,1 545 000 kr,-145 000 kr (-9 %),Lägenhet,Bostadsrätt,1 rum,27 m²,Ja,"3 av 5, hiss finns",2021,2 104 kr/mån,,,,,,
1 390 000 kr,Västra Rönneholmsvägen 64B,Lägenhet,"Slottsstaden, Malmö kommun",Såld 12 januari 2018,Victor Jörgensen,https://www.hemnet.se/maklare/bo-laget-fastighetsformedling-716831/victor-jorgensen-9420,49 643 kr/m²,1 390 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,1944,1 915 kr/mån,3 683 kr/år,,,,,HSB Brf Tärningholm
1 350 000 kr,Möllevångsgatan 30A,Lägenhet,"Möllevången/Triangeln, Malmö kommun",Såld 16 juli 2022,Eric Roberts,https://www.hemnet.se/maklare/skandiamaklarna-malmo-city-34259/eric-roberts-18069,47 368 kr/m²,1 395 000 kr,-45 000 kr (-3 %),Lägenhet,Bostadsrätt,1 rum,"28,5 m²",,"2 av 5, hiss finns",1968,2 099 kr/mån,,,,,,
1 200 000 kr,Östra Kristinelundsvägen 9 B,Lägenhet,"Slottsstaden, Malmö kommun",Såld 06 januari 2020,Malin Thelander,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/malin-thelander-6179,44 444 kr/m²,1 150 000 kr,+50 000 kr (+4 %),Lägenhet,Bostadsrätt,1 rum,27 m²,Nej,,1953,1 755 kr/mån,2 200 kr/år,,,,,
535 000 kr,Uddeholmsgatan 34A,Lägenhet,"Lönngården, Malmö kommun",Såld 23 februari 2019,Lisa Ivarsson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/lisa-ivarsson-14256,19 455 kr/m²,550 000 kr,-15 000 kr (-3 %),Lägenhet,Bostadsrätt,1 rum,"27,5 m²",,,1955,1 961 kr/mån,,,,,,Riksbyggen Brf Pyramiden
1 395 000 kr,Regementsgatan 25A,Lägenhet,"Ribersborg, Malmö kommun",Såld 10 augusti 2021,Johan Bergengren,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/johan-bergengren-19069,55 800 kr/m²,1 395 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,25 m²,Ja,"1 av 5, hiss finns",1945,2 149 kr/mån,3 120 kr/år,,,,,
795 000 kr,Västmanlandsgatan 4A,Lägenhet,"Dalaplan, Malmö kommun",Såld 30 april 2021,Johan Dahlberg,https://www.hemnet.se/maklare/lansforsakringar-fastighetsformedling-malmo-39311/johan-dahlberg-12808,30 577 kr/m²,795 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,26 m²,Nej,"1 av 3, hiss finns ej",1944,1 576 kr/mån,2 400 kr/år,,,,,
1 100 000 kr,Eslövsgatan 1C,Lägenhet,"S:t Knut, Malmö kommun",Såld 28 januari 2022,Victor Jörgensen,https://www.hemnet.se/maklare/bo-laget-fastighetsformedling-716831/victor-jorgensen-9420,35 484 kr/m²,995 000 kr,+105 000 kr (+11 %),Lägenhet,Bostadsrätt,1 rum,31 m²,,,1939,3 203 kr/mån,,,,,,
620 000 kr,Dansörgatan 10,Lägenhet,"Lindeborg, Malmö kommun",Såld 10 oktober 2019,Ola G Lindskog,https://www.hemnet.se/maklare/bodirekt-298/ola-g-lindskog-416,21 379 kr/m²,695 000 kr,-75 000 kr (-11 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,,1972,1 736 kr/mån,,,,,,
760 000 kr,Vitemöllegatan 1C,Lägenhet,"Nobeltorget, Malmö kommun",Såld 01 juni 2023,Jasmine von Stezelow,https://www.hemnet.se/maklare/skandiamaklarna-malmo-city-34259/jasmine-von-stezelow-13959,33 043 kr/m²,750 000 kr,+10 000 kr (+1 %),Lägenhet,Bostadsrätt,1 rum,23 m²,Nej,"3 av 4, hiss finns",1944,2 482 kr/mån,,,,,,
1 050 000 kr,Pilåkersvägen 4 A,Lägenhet,"Dammfri, Malmö kommun",Såld 10 februari 2020,Jenny Eriksson,https://www.hemnet.se/maklare/fastighetsbyran-ystad-11646/jenny-eriksson-13740,42 000 kr/m²,995 000 kr,+55 000 kr (+6 %),Lägenhet,Bostadsrätt,1 rum,25 m²,Nej,"3 av 4, hiss finns",1951,2 064 kr/mån,1 900 kr/år,,,,,
1 500 000 kr,Simrishamnsgatan 3C,Lägenhet,"Möllevången, Malmö kommun",Såld 31 mars 2022,Victor Jörgensen,https://www.hemnet.se/maklare/bo-laget-fastighetsformedling-716831/victor-jorgensen-9420,51 724 kr/m²,1 295 000 kr,+205 000 kr (+16 %),Lägenhet,Bostadsrätt,2 rum,29 m²,,3 av 4,1907,2 285 kr/mån,,,,,,
1 295 000 kr,Köpenhamnsvägen 13 A,Lägenhet,"Slottsstaden, Malmö kommun",Såld 14 juni 2022,Annika Jernberg,https://www.hemnet.se/maklare/fastighetsbyran-hollviken-170/annika-jernberg-18855,46 250 kr/m²,1 295 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,28 m²,Ja,"4 av 6, hiss finns",1953,2 052 kr/mån,,,,,,
920 000 kr,Östervärnsgatan 10A,Lägenhet,"Värnhem, Malmö kommun",Såld 09 augusti 2022,Max Nilsson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/max-nilsson-20779,43 810 kr/m²,995 000 kr,-75 000 kr (-8 %),Lägenhet,Bostadsrätt,1 rum,21 m²,Nej,"1,5 av 5, hiss finns ej",1939,1 578 kr/mån,,,,,,
1 350 000 kr,Neptunigatan 71,Lägenhet,"Varvsstaden, Malmö kommun",Såld 08 augusti 2023,Isabelle Ekstrand,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/isabelle-ekstrand-15061,58 696 kr/m²,1 450 000 kr,-100 000 kr (-7 %),Lägenhet,Bostadsrätt,1 rum,23 m²,Nej,"1 av 7, hiss finns",2023,2 340 kr/mån,3 192 kr/år,,,Ja,,
795 000 kr,Idaborgsgatan 57 D,Lägenhet,"Ellstorp, Malmö kommun",Såld 13 juli 2017,Robert Salmi,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/robert-salmi-10774,30 577 kr/m²,645 000 kr,+150 000 kr (+23 %),Lägenhet,Bostadsrätt,1 rum,26 m²,,,1940,1 937 kr/mån,4 060 kr/år,,,,,HSB:s Bostadsrättsförening Vidar i Malmö
750 000 kr,Blekingsborgsgatan 9,Lägenhet,"Blekingsborg, Malmö kommun",Såld 11 oktober 2019,Anders Nilsson,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/anders-nilsson-9587,25 424 kr/m²,795 000 kr,-45 000 kr (-6 %),Lägenhet,Bostadsrätt,1 rum,"29,5 m²",,,1958,2 363 kr/mån,,,,,,
1 375 000 kr,Mäster Henriksgatan 10A,Lägenhet,"S:t Knut, Malmö kommun",Såld 03 maj 2022,Jasmine Andersson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/jasmine-andersson-17866,57 292 kr/m²,1 295 000 kr,+80 000 kr (+6 %),Lägenhet,Bostadsrätt,1 rum,24 m²,Nej,"3 av 4, hiss finns ej",1932,1 312 kr/mån,,,,,,
570 000 kr,Karlshamnsgatan 2,Lägenhet,"Karlskronaplan, Malmö kommun",Såld 22 september 2014,Jonna Nyberg,https://www.hemnet.se/maklare/croisette-vaxjo-714371/jonna-nyberg-1550,19 655 kr/m²,595 000 kr,-25 000 kr (-4 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,,1935,2 463 kr/mån,3 000 kr/år,,,,,Brf Gnistan 1
1 250 000 kr,Roslins väg 1,Lägenhet,"Ribersborg, Malmö kommun",Såld 15 juni 2017,Filip Ericsson,https://www.hemnet.se/maklare/bjurfors-malmo-vaster-12366/filip-ericsson-9481,46 296 kr/m²,1 095 000 kr,+155 000 kr (+14 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,,1929,1 744 kr/mån,,,,,,Brf Husaren 19
